IdEstudioNoUni,CentroEstudio,Carrera,Concluido,IdCandidato
1,MINJUS - DIRECCION DE CONCILIACION,CONCILIACION EXTRAJUDICIAL,True,15
2,COLLEGE OF PROFESSIONAL STUDIES,I-WEEK PROGRAM EN COMUNICACION POLITICA,True,33
