IdExperiencia,CentroTrabajo,Cargo,AnioInicio,AnioFin,IdCandidato
71,HOSPITAL NACIONAL ESSALUD HUANCAYO,MEDICO NEUROCIRUJANO ASISTENTE,2003,2019,24
72,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ,DOCENTE AUXILIAR NOMBRADO,2011,2019,24
73,GOBIERNO REGIONAL JUNIN,PRESIDENTE REGIONAL,2011,2014,24
74,Independiente,ABOGADO,1981,2025,25
75,CyM VIZCARRA SAC,GERENTE ADMINISTRATIVO,1993,2017,26
76,AGROTECNICA ESTUQUIÑA SA.,GERENTE ADMINISTRATIVO,1998,2025,26
77,MINISTERIO DEL INTERIOR,DIRECTOR GENERAL DE GOBIERNO DEL INTERIOR,2018,2018,27
78,PRENSA Y CULTURA EMBAJADA DE ESTADOS UNIDOS,DIRECTOR DE COMUNICACIONES,2008,2023,28
79,ALPAXOR S.A.C.,GERENTE GENERAL,2024,2025,29
80,CARLOS ERNESTO JAICO CARRANZA,ABOGADO INDEPENDIENTE,2022,2025,29
81,DESPACHO PRESIDENCIAL,SECRETARIO GENERAL,2021,2022,29
82,CONGRESO DE LA REPUBLICA DEL PERU,ASESOR PARLAMENTARIO,2020,2021,29
83,UNIVERSIDAD TECMILENIO,PROFESOR DE CATEDRA,2014,2018,29
84,CONGRESO DE LA REPUBLICA,CONGRESISTA,2021,2025,30
85,INSTITUTO INTUR PERU E.I.R.L,ASESOR,2011,2025,30
86,SABIO ANTUNEZ DE MAYOLO E.I.R.L.,ASESOR,2023,2025,30
87,UNIVERSIDAD PRIVADA TELESUP S.A.C.,ASESOR,2020,2025,30
88,NOTARIA PEREZ TELLO,NOTARIA,1999,2025,31
89,UNIVERSIDAD SAN MARTIN DE PORRES,DOCENTE FACULTAD DE DERECHO,1996,2020,31
90,MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS,MINISTRA DE JUSTICIA,2016,2017,31
91,CONGRESO DE LA REPUBLICA,CONGRESISTA,2011,2016,31
92,CONGRESO DE LA REPÚBLICA,ASESOR I,2022,2025,32
93,IMPORTADORA Y DISTRIBUIDORA DE RETENES RODAMIENTOS Y AFINES (IDRE) S.A,GERENTE GENERAL,1999,2025,33
94,KMK HIDRAULICA Y SERVICIOS S.A,GERENTE GENERAL,2005,2025,33
95,TONSAN DEL PERU S.A.,GERENTE GENERAL,2010,2025,33
96,IEP JAN KOMESKY,DOCENTE,2005,2025,34
97,CONGRESO DE LA REPUBLICA,CONGRESISTA,2021,2025,35
98,MUNICIPALIDAD METROPOLITANA DE LIMA,ALCALDE,2023,2025,36
99,UNIVERSIDAD NACIONAL DE INGENIERÍA,CATEDRÁTICO,2017,2020,36
100,PERURAIL S.A.,DIRECTOR,1999,2022,36
101,PERU BELMOND HOTELS S.A.,DIRECTOR,1990,2022,36
102,FERROCARRIL TRASANDINO S.A.,DIRECTOR,1999,2022,36
